BranchID,BranchName,Address,City,State,PostCode,OpeningDate,Status,VolumeCategory,ClosingDate,PerformanceProfile
B001,Ampang 88 Speedmart,165 Jalan Sultan Azlan Shah,Ampang,Selangor,68000,07-06-23,ACTIVE,HIGH,,HIGH
B002,Cheras 88 Speedmart,532 Jalan Gaya,Cheras,Kuala Lumpur,56000,01-04-22,ACTIVE,HIGH,,HIGH
B003,Petaling Jaya 88 Speedmart,831 Jalan Sultan Azlan Shah,Petaling Jaya,Selangor,47300,05-17-24,ACTIVE,HIGH,,HIGH
B004,Shah Alam 88 Speedmart,803 Jalan Penang,Shah Alam,Selangor,40000,08-04-18,ACTIVE,MEDIUM,,MEDIUM
B005,Klang 88 Speedmart,544 Jalan Penang,Klang,Selangor,41000,04-22-25,ACTIVE,MEDIUM,,MEDIUM
B006,Johor Bahru 88 Speedmart,796 Jalan PJU,Johor Bahru,Johor,80000,10-14-24,ACTIVE,MEDIUM,,MEDIUM
B007,Ipoh 88 Speedmart,669 Persiaran Shah Alam,Ipoh,Perak,30000,02-21-21,ACTIVE,MEDIUM,,MEDIUM
B008,George Town 88 Speedmart,580 Persiaran Shah Alam,George Town,Penang,10000,02-20-23,ACTIVE,MEDIUM,,MEDIUM
B009,Seremban 88 Speedmart,43 Jalan Hang Tuah,Seremban,Negeri Sembilan,70000,03-11-26,ACTIVE,LOW,,LOW
B010,Melaka 88 Speedmart,364 Jalan Gaya,Melaka,Melaka,75000,07-03-18,ACTIVE,LOW,,LOW
B011,Kota Kinabalu 88 Speedmart,212 Persiaran Shah Alam,Kota Kinabalu,Sabah,88000,02-11-20,ACTIVE,LOW,,LOW
B012,Kuching 88 Speedmart,194 Jalan Sultan Azlan Shah,Kuching,Sarawak,93000,03-23-25,INACTIVE,LOW,03-15-26,LOW
