VoucherID,VoucherName,VoucherType,PointsRequired,DiscountAmount,MinSpendAmount,StartDate,EndDate,Status
V001,Weekend Grocery Special,DISCOUNT,0,30.0,150.0,2024-05-13,2024-11-09,EXPIRED
V002,Free Shipping Min Spend RM50,FREE_DELIVERY,100,4.0,80.0,2024-02-22,2024-04-22,EXPIRED
V003,Holiday Free Express Shipping,FREE_DELIVERY,200,4.0,15.0,2024-11-08,2024-12-08,EXPIRED
V004,Point Redemption RM15,DISCOUNT,0,50.0,150.0,2024-10-10,2025-10-10,EXPIRED
V005,11.11 Mega Sale 2024,DISCOUNT,200,5.0,20.0,2024-06-02,2024-08-01,EXPIRED
V006,Express Delivery Privilege,FREE_DELIVERY,500,4.0,15.0,2024-03-02,2024-08-29,EXPIRED
V007,Raya Celebration Deal,DISCOUNT,1000,40.0,120.0,2024-12-15,2025-02-13,EXPIRED
V008,Payday Sale RM12,DISCOUNT,500,15.0,75.0,2025-07-21,2026-01-17,EXPIRED
V009,Point Redemption RM30,DISCOUNT,1000,12.0,36.0,2025-08-12,2026-02-08,EXPIRED
V010,Weekend Free Shipping,FREE_DELIVERY,0,10.0,80.0,2025-11-18,2026-11-18,ACTIVE
V011,Mega Savings RM20,DISCOUNT,1000,15.0,60.0,2025-04-17,2025-05-17,EXPIRED
V012,Flash Sale RM15,DISCOUNT,1000,18.0,90.0,2025-07-04,2026-07-04,ACTIVE
V013,Free Delivery - New User,FREE_DELIVERY,500,10.0,80.0,2025-01-16,2025-03-17,EXPIRED
V014,Year End Blowout 2024,DISCOUNT,0,18.0,54.0,2025-09-01,2025-10-31,EXPIRED
V015,Fresh Produce Saver,DISCOUNT,0,18.0,54.0,2025-12-07,2026-03-07,EXPIRED
V016,Member Loyalty RM40,DISCOUNT,0,20.0,60.0,2025-11-15,2026-01-14,EXPIRED
V017,Loyalty Free Delivery Pass,FREE_DELIVERY,1000,4.0,30.0,2025-09-28,2026-09-28,ACTIVE
V018,Points Reward Free Shipping,FREE_DELIVERY,0,15.0,30.0,2026-03-02,2026-05-01,EXPIRED
V019,VIP Gold Member RM50,DISCOUNT,0,15.0,45.0,2026-06-15,2027-06-15,ACTIVE
V020,New Year Clearance 2024,DISCOUNT,100,12.0,48.0,2026-02-28,2026-08-27,ACTIVE
V021,Super Shopper RM25,DISCOUNT,0,20.0,100.0,2026-03-07,2026-04-06,EXPIRED
V022,Mid-Year Festival RM18,DISCOUNT,0,40.0,160.0,2026-03-19,2026-05-18,EXPIRED
V023,Bulk Order Free Delivery,FREE_DELIVERY,200,4.0,80.0,2026-06-28,2027-06-28,ACTIVE
V024,Welcome New Member RM5,DISCOUNT,200,10.0,40.0,2026-05-07,2026-06-06,EXPIRED
