BranchID,BranchName,Address,City,State,PostCode,OpeningDate,Status,VolumeCategory,ClosingDate
B001,Ampang 88 Speedmart,512 Jalan Padungan,Ampang,Selangor,68000,2024-01-13,ACTIVE,HIGH,
B002,Cheras 88 Speedmart,491 Persiaran Shah Alam,Cheras,Kuala Lumpur,56000,2024-06-05,ACTIVE,HIGH,
B003,Petaling Jaya 88 Speedmart,502 Jalan Hang Tuah,Petaling Jaya,Selangor,47300,2024-09-01,ACTIVE,HIGH,
B004,Shah Alam 88 Speedmart,944 Jalan Tebrau,Shah Alam,Selangor,40000,2025-01-03,ACTIVE,MEDIUM,
B005,Klang 88 Speedmart,849 Jalan Cheras,Klang,Selangor,41000,2025-02-23,ACTIVE,MEDIUM,
B006,Johor Bahru 88 Speedmart,214 Jalan PJU,Johor Bahru,Johor,80000,2025-03-21,ACTIVE,MEDIUM,
B007,Ipoh 88 Speedmart,660 Jalan Penang,Ipoh,Perak,30000,2025-05-17,ACTIVE,MEDIUM,
B008,George Town 88 Speedmart,876 Jalan Padungan,George Town,Penang,10000,2025-05-21,ACTIVE,MEDIUM,
B009,Seremban 88 Speedmart,994 Jalan Ampang,Seremban,Negeri Sembilan,70000,2025-06-01,ACTIVE,LOW,
B010,Melaka 88 Speedmart,970 Jalan Cheras,Melaka,Melaka,75000,2025-10-27,ACTIVE,LOW,
B011,Kota Kinabalu 88 Speedmart,924 Jalan Cheras,Kota Kinabalu,Sabah,88000,2025-11-25,ACTIVE,LOW,
B012,Kuching 88 Speedmart,963 Jalan Cheras,Kuching,Sarawak,93000,2025-12-07,INACTIVE,LOW,2026-03-29
